Scheduling Result for 15x15 Instance
Total Makespan: 1453.0
============================================================
Machine    | Job        | Start      | End        | Duration  
------------------------------------------------------------
M1         | J15        | 0          | 44.0       | 44.0      
M1         | J11        | 82         | 159.0      | 77.0      
M1         | J13        | 159        | 217.0      | 58.0      
M1         | J7         | 226        | 264.0      | 38.0      
M1         | J4         | 264        | 337.0      | 73.0      
M1         | J9         | 337        | 434.0      | 97.0      
M1         | J6         | 434        | 458.0      | 24.0      
M1         | J5         | 458        | 523.0      | 65.0      
M1         | J10        | 523        | 584.0      | 61.0      
M1         | J8         | 584        | 650.0      | 66.0      
M1         | J2         | 650        | 736.0      | 86.0      
M1         | J3         | 994        | 998.0      | 4.0       
M1         | J1         | 1121       | 1133.0     | 12.0      
M1         | J12        | 1133       | 1181.0     | 48.0      
M1         | J14        | 1181       | 1218.0     | 37.0      
M2         | J10        | 96         | 103.0      | 7.0       
M2         | J3         | 268        | 301.0      | 33.0      
M2         | J2         | 323        | 351.0      | 28.0      
M2         | J1         | 351        | 407.0      | 56.0      
M2         | J14        | 407        | 429.0      | 22.0      
M2         | J8         | 440        | 528.0      | 88.0      
M2         | J12        | 549        | 640.0      | 91.0      
M2         | J6         | 640        | 681.0      | 41.0      
M2         | J7         | 681        | 728.0      | 47.0      
M2         | J4         | 775        | 854.0      | 79.0      
M2         | J13        | 899        | 933.0      | 34.0      
M2         | J11        | 994        | 999.0      | 5.0       
M2         | J15        | 999        | 1072.0     | 73.0      
M2         | J9         | 1072       | 1110.0     | 38.0      
M2         | J5         | 1197       | 1205.0     | 8.0       
M3         | J6         | 102        | 133.0      | 31.0      
M3         | J4         | 337        | 338.0      | 1.0       
M3         | J15        | 396        | 433.0      | 37.0      
M3         | J9         | 512        | 555.0      | 43.0      
M3         | J10        | 592        | 593.0      | 1.0       
M3         | J12        | 640        | 693.0      | 53.0      
M3         | J11        | 693        | 787.0      | 94.0      
M3         | J5         | 787        | 838.0      | 51.0      
M3         | J3         | 838        | 859.0      | 21.0      
M3         | J7         | 1013       | 1043.0     | 30.0      
M3         | J8         | 1043       | 1086.0     | 43.0      
M3         | J13        | 1086       | 1161.0     | 75.0      
M3         | J1         | 1161       | 1204.0     | 43.0      
M3         | J14        | 1218       | 1273.0     | 55.0      
M3         | J2         | 1273       | 1351.0     | 78.0      
M4         | J5         | 7          | 90.0       | 83.0      
M4         | J2         | 104        | 112.0      | 8.0       
M4         | J8         | 232        | 296.0      | 64.0      
M4         | J10        | 375        | 471.0      | 96.0      
M4         | J12        | 471        | 549.0      | 78.0      
M4         | J11        | 549        | 614.0      | 65.0      
M4         | J1         | 614        | 704.0      | 90.0      
M4         | J9         | 704        | 714.0      | 10.0      
M4         | J13        | 714        | 745.0      | 31.0      
M4         | J4         | 854        | 931.0      | 77.0      
M4         | J7         | 931        | 1013.0     | 82.0      
M4         | J14        | 1013       | 1106.0     | 93.0      
M4         | J15        | 1106       | 1133.0     | 27.0      
M4         | J6         | 1133       | 1224.0     | 91.0      
M4         | J3         | 1224       | 1280.0     | 56.0      
M5         | J9         | 16         | 72.0       | 56.0      
M5         | J12        | 181        | 199.0      | 18.0      
M5         | J8         | 199        | 232.0      | 33.0      
M5         | J2         | 502        | 518.0      | 16.0      
M5         | J5         | 614        | 683.0      | 69.0      
M5         | J15        | 683        | 707.0      | 24.0      
M5         | J7         | 808        | 824.0      | 16.0      
M5         | J13        | 896        | 899.0      | 3.0       
M5         | J6         | 1008       | 1080.0     | 72.0      
M5         | J14        | 1106       | 1134.0     | 28.0      
M5         | J1         | 1134       | 1141.0     | 7.0       
M5         | J10        | 1141       | 1150.0     | 9.0       
M5         | J4         | 1159       | 1222.0     | 63.0      
M5         | J3         | 1280       | 1376.0     | 96.0      
M5         | J11        | 1376       | 1453.0     | 77.0      
M6         | J9         | 72         | 123.0      | 51.0      
M6         | J14        | 167        | 192.0      | 25.0      
M6         | J13        | 217        | 271.0      | 54.0      
M6         | J2         | 271        | 323.0      | 52.0      
M6         | J12        | 323        | 354.0      | 31.0      
M6         | J1         | 407        | 484.0      | 77.0      
M6         | J15        | 484        | 521.0      | 37.0      
M6         | J8         | 528        | 554.0      | 26.0      
M6         | J4         | 584        | 646.0      | 62.0      
M6         | J6         | 681        | 708.0      | 27.0      
M6         | J3         | 708        | 770.0      | 62.0      
M6         | J10        | 770        | 802.0      | 32.0      
M6         | J5         | 838        | 933.0      | 95.0      
M6         | J11        | 999        | 1061.0     | 62.0      
M6         | J7         | 1192       | 1257.0     | 65.0      
M7         | J2         | 0          | 57.0       | 57.0      
M7         | J8         | 57         | 129.0      | 72.0      
M7         | J3         | 129        | 200.0      | 71.0      
M7         | J4         | 200        | 234.0      | 34.0      
M7         | J10        | 234        | 328.0      | 94.0      
M7         | J15        | 328        | 371.0      | 43.0      
M7         | J5         | 371        | 440.0      | 69.0      
M7         | J9         | 450        | 512.0      | 62.0      
M7         | J7         | 762        | 808.0      | 46.0      
M7         | J6         | 828        | 926.0      | 98.0      
M7         | J11        | 926        | 994.0      | 68.0      
M7         | J12        | 994        | 1011.0     | 17.0      
M7         | J1         | 1031       | 1121.0     | 90.0      
M7         | J13        | 1161       | 1225.0     | 64.0      
M7         | J14        | 1273       | 1349.0     | 76.0      
M8         | J13        | 0          | 11.0       | 11.0      
M8         | J4         | 11         | 68.0       | 57.0      
M8         | J6         | 68         | 102.0      | 34.0      
M8         | J2         | 102        | 104.0      | 2.0       
M8         | J7         | 104        | 187.0      | 83.0      
M8         | J15        | 187        | 195.0      | 8.0       
M8         | J1         | 195        | 264.0      | 69.0      
M8         | J10        | 328        | 375.0      | 47.0      
M8         | J14        | 704        | 782.0      | 78.0      
M8         | J11        | 787        | 790.0      | 3.0       
M8         | J3         | 859        | 945.0      | 86.0      
M8         | J9         | 945        | 994.0      | 49.0      
M8         | J8         | 994        | 1016.0     | 22.0      
M8         | J5         | 1061       | 1150.0     | 89.0      
M8         | J12        | 1181       | 1216.0     | 35.0      
M9         | J3         | 0          | 17.0       | 17.0      
M9         | J14        | 17         | 103.0      | 86.0      
M9         | J12        | 103        | 181.0      | 78.0      
M9         | J11        | 181        | 197.0      | 16.0      
M9         | J6         | 197        | 255.0      | 58.0      
M9         | J7         | 335        | 428.0      | 93.0      
M9         | J9         | 434        | 450.0      | 16.0      
M9         | J13        | 450        | 466.0      | 16.0      
M9         | J10        | 584        | 592.0      | 8.0       
M9         | J15        | 592        | 673.0      | 81.0      
M9         | J8         | 673        | 769.0      | 96.0      
M9         | J1         | 973        | 1031.0     | 58.0      
M9         | J4         | 1031       | 1090.0     | 59.0      
M9         | J2         | 1119       | 1174.0     | 55.0      
M9         | J5         | 1174       | 1197.0     | 23.0      
M10        | J5         | 90         | 187.0      | 97.0      
M10        | J13        | 271        | 293.0      | 22.0      
M10        | J14        | 293        | 389.0      | 96.0      
M10        | J3         | 389        | 435.0      | 46.0      
M10        | J1         | 484        | 564.0      | 80.0      
M10        | J15        | 564        | 580.0      | 16.0      
M10        | J2         | 580        | 604.0      | 24.0      
M10        | J10        | 657        | 730.0      | 73.0      
M10        | J12        | 825        | 893.0      | 68.0      
M10        | J4         | 1090       | 1159.0     | 69.0      
M10        | J11        | 1159       | 1222.0     | 63.0      
M10        | J9         | 1222       | 1291.0     | 69.0      
M10        | J6         | 1291       | 1337.0     | 46.0      
M10        | J7         | 1337       | 1365.0     | 28.0      
M10        | J8         | 1365       | 1411.0     | 46.0      
M11        | J4         | 68         | 72.0       | 4.0       
M11        | J5         | 187        | 215.0      | 28.0      
M11        | J6         | 255        | 353.0      | 98.0      
M11        | J11        | 362        | 428.0      | 66.0      
M11        | J2         | 428        | 502.0      | 74.0      
M11        | J7         | 502        | 546.0      | 44.0      
M11        | J13        | 546        | 635.0      | 89.0      
M11        | J14        | 635        | 640.0      | 5.0       
M11        | J10        | 640        | 657.0      | 17.0      
M11        | J1         | 704        | 719.0      | 15.0      
M11        | J9         | 719        | 794.0      | 75.0      
M11        | J12        | 794        | 825.0      | 31.0      
M11        | J8         | 825        | 910.0      | 85.0      
M11        | J15        | 910        | 993.0      | 83.0      
M11        | J3         | 993        | 994.0      | 1.0       
M12        | J9         | 0          | 16.0       | 16.0      
M12        | J1         | 16         | 43.0       | 27.0      
M12        | J13        | 293        | 382.0      | 89.0      
M12        | J6         | 458        | 464.0      | 6.0       
M12        | J3         | 464        | 524.0      | 60.0      
M12        | J5         | 524        | 614.0      | 90.0      
M12        | J14        | 640        | 704.0      | 64.0      
M12        | J4         | 704        | 775.0      | 71.0      
M12        | J10        | 802        | 831.0      | 29.0      
M12        | J8         | 910        | 944.0      | 34.0      
M12        | J12        | 1011       | 1096.0     | 85.0      
M12        | J2         | 1096       | 1119.0     | 23.0      
M12        | J7         | 1119       | 1192.0     | 73.0      
M12        | J15        | 1192       | 1250.0     | 58.0      
M12        | J11        | 1250       | 1310.0     | 60.0      
M13        | J11        | 0          | 82.0       | 82.0      
M13        | J8         | 129        | 159.0      | 30.0      
M13        | J3         | 200        | 236.0      | 36.0      
M13        | J1         | 264        | 307.0      | 43.0      
M13        | J7         | 307        | 335.0      | 28.0      
M13        | J14        | 429        | 472.0      | 43.0      
M13        | J4         | 493        | 584.0      | 91.0      
M13        | J12        | 693        | 697.0      | 4.0       
M13        | J2         | 736        | 761.0      | 25.0      
M13        | J9         | 794        | 882.0      | 88.0      
M13        | J13        | 882        | 896.0      | 14.0      
M13        | J5         | 933        | 1031.0     | 98.0      
M13        | J10        | 1031       | 1116.0     | 85.0      
M13        | J6         | 1224       | 1225.0     | 1.0       
M13        | J15        | 1283       | 1367.0     | 84.0      
M14        | J12        | 0          | 25.0       | 25.0      
M14        | J10        | 25         | 96.0       | 71.0      
M14        | J3         | 236        | 268.0      | 32.0      
M14        | J11        | 268        | 362.0      | 94.0      
M14        | J15        | 371        | 396.0      | 25.0      
M14        | J8         | 396        | 440.0      | 44.0      
M14        | J4         | 440        | 493.0      | 53.0      
M14        | J7         | 728        | 762.0      | 34.0      
M14        | J6         | 762        | 828.0      | 66.0      
M14        | J13        | 828        | 881.0      | 53.0      
M14        | J1         | 881        | 973.0      | 92.0      
M14        | J14        | 973        | 1004.0     | 31.0      
M14        | J2         | 1004       | 1012.0     | 8.0       
M14        | J5         | 1031       | 1061.0     | 30.0      
M14        | J9         | 1110       | 1201.0     | 91.0      
M15        | J5         | 0          | 7.0        | 7.0       
M15        | J1         | 43         | 60.0       | 17.0      
M15        | J14        | 103        | 167.0      | 64.0      
M15        | J7         | 187        | 226.0      | 39.0      
M15        | J11        | 428        | 517.0      | 89.0      
M15        | J2         | 518        | 520.0      | 2.0       
M15        | J3         | 524        | 570.0      | 46.0      
M15        | J10        | 831        | 915.0      | 84.0      
M15        | J6         | 926        | 1008.0     | 82.0      
M15        | J8         | 1016       | 1029.0     | 13.0      
M15        | J13        | 1029       | 1057.0     | 28.0      
M15        | J15        | 1250       | 1283.0     | 33.0      
M15        | J4         | 1283       | 1336.0     | 53.0      
M15        | J9         | 1336       | 1379.0     | 43.0      
M15        | J12        | 1379       | 1422.0     | 43.0      
